"","Date","Plate","Dilution","Time","A","B","genA","genB","pair"
"1","19-Jan-22",1,1000000,0,37000,33000,"VIMR6.1","VIMR6.1","OFP vs CFP"
"2","19-Jan-22",2,1000000,0,24000,39000,"VIMR6.1","VIMR6.1","OFP vs CFP"
"3","19-Jan-22",1,10000000,24,8e+08,3.8e+09,"VIMR6.1","VIMR6.1","OFP vs CFP"
"4","19-Jan-22",2,10000000,24,9e+08,3.4e+09,"VIMR6.1","VIMR6.1","OFP vs CFP"
"5","19-Jan-22",1,1000000,0,27000,34000,"NDMR18","Junk","OFP vs CFP"
"6","19-Jan-22",2,1000000,0,38000,27000,"NDMR18","Junk","OFP vs CFP"
"7","19-Jan-22",1,10000000,24,3.4e+09,5.9e+09,"NDMR18","Junk","OFP vs CFP"
"8","19-Jan-22",2,10000000,24,3.2e+09,5.1e+09,"NDMR18","Junk","OFP vs CFP"
"9","19-Jan-22",1,1000000,0,30000,37000,"VIMR18.1","VIMR18.1","GFP vs CFP"
"10","19-Jan-22",2,1000000,0,27000,37000,"VIMR18.1","VIMR18.1","GFP vs CFP"
"11","19-Jan-22",1,10000000,24,1.4e+09,4.5e+09,"VIMR18.1","VIMR18.1","GFP vs CFP"
"12","19-Jan-22",2,10000000,24,6e+08,4.7e+09,"VIMR18.1","VIMR18.1","GFP vs CFP"
"13","19-Jan-22",1,1000000,0,49000,79000,"Junk","VIMR6.4","GFP vs CFP"
"14","19-Jan-22",2,1000000,0,53000,61000,"Junk","VIMR6.4","GFP vs CFP"
"15","19-Jan-22",1,10000000,24,1e+09,3.3e+09,"Junk","VIMR6.4","GFP vs CFP"
"16","19-Jan-22",2,10000000,24,1.4e+09,3.8e+09,"Junk","VIMR6.4","GFP vs CFP"
"17","19-Jan-22",1,1000000,0,34000,26000,"VIMR6.4","VIMR6.4","GFP vs OFP"
"18","19-Jan-22",2,1000000,0,26000,37000,"VIMR6.4","VIMR6.4","GFP vs OFP"
"19","19-Jan-22",1,10000000,24,1.1e+09,4.1e+09,"VIMR6.4","VIMR6.4","GFP vs OFP"
"20","19-Jan-22",2,10000000,24,1.1e+09,2.9e+09,"VIMR6.4","VIMR6.4","GFP vs OFP"
"21","19-Jan-22",1,1000000,0,28000,20000,"VIMR6.1","VIMR18.1","GFP vs OFP"
"22","19-Jan-22",2,1000000,0,23000,28000,"VIMR6.1","VIMR18.1","GFP vs OFP"
"23","19-Jan-22",1,10000000,24,1.6e+09,1.8e+09,"VIMR6.1","VIMR18.1","GFP vs OFP"
"24","19-Jan-22",2,10000000,24,1e+09,1e+09,"VIMR6.1","VIMR18.1","GFP vs OFP"
"25","26-Jan-22",1,10000000,0,350000,460000,"CMP","VIMR2.2","GFP vs OFP"
"26","26-Jan-22",1,10000000,24,1.6e+09,2e+09,"CMP","VIMR2.2","GFP vs OFP"
"27","26-Jan-22",2,10000000,24,1.5e+09,2.2e+09,"CMP","VIMR2.2","GFP vs OFP"
"28","26-Jan-22",1,10000000,0,590000,330000,"VIMwt","VIMwt","OFP vs CFP"
"29","26-Jan-22",2,10000000,0,480000,3e+05,"VIMwt","VIMwt","OFP vs CFP"
"30","26-Jan-22",1,10000000,24,1.17e+10,8.4e+09,"VIMwt","VIMwt","OFP vs CFP"
"31","26-Jan-22",2,10000000,24,1.57e+10,1.03e+10,"VIMwt","VIMwt","OFP vs CFP"
"32","26-Jan-22",1,10000000,0,520000,480000,"VIMR2.1","VIMR2.1","GFP vs OFP"
"33","26-Jan-22",2,10000000,0,630000,560000,"VIMR2.1","VIMR2.1","GFP vs OFP"
"34","26-Jan-22",1,10000000,24,1.7e+09,2e+09,"VIMR2.1","VIMR2.1","GFP vs OFP"
"35","26-Jan-22",2,10000000,24,1.6e+09,2.3e+09,"VIMR2.1","VIMR2.1","GFP vs OFP"
"36","26-Jan-22",1,10000000,0,790000,340000,"VIMR18.1","VIMR6.4","OFP vs CFP"
"37","26-Jan-22",2,10000000,0,620000,550000,"VIMR18.1","VIMR6.4","OFP vs CFP"
"38","26-Jan-22",1,10000000,24,6e+09,1.12e+10,"VIMR18.1","VIMR6.4","OFP vs CFP"
"39","26-Jan-22",2,10000000,24,5.6e+09,1.38e+10,"VIMR18.1","VIMR6.4","OFP vs CFP"
"40","02-Feb-22",1,10000000,0,2e+05,130000,"CMP","CMP","GFP vs OFP"
"41","02-Feb-22",2,10000000,0,90000,130000,"CMP","CMP","GFP vs OFP"
"42","02-Feb-22",1,10000000,24,2.4e+09,1.64e+11,"CMP","CMP","GFP vs OFP"
"43","02-Feb-22",2,10000000,24,1.6e+09,7.8e+10,"CMP","CMP","GFP vs OFP"
"44","02-Feb-22",1,10000000,0,290000,310000,"CMP","VIMwt","GFP vs OFP"
"45","02-Feb-22",2,10000000,0,230000,290000,"CMP","VIMwt","GFP vs OFP"
"46","02-Feb-22",3,1000000,0,87000,87000,"CMP","VIMwt","GFP vs OFP"
"47","02-Feb-22",1,10000000,24,7.2e+09,1.616e+11,"CMP","VIMwt","GFP vs OFP"
"48","02-Feb-22",2,10000000,24,2.4e+09,1.4e+11,"CMP","VIMwt","GFP vs OFP"
"49","02-Feb-22",1,10000000,0,1e+05,130000,"VIMR2.1","VIMR2.1","GFP vs OFP"
"50","02-Feb-22",2,10000000,0,210000,2e+05,"VIMR2.1","VIMR2.1","GFP vs OFP"
"51","02-Feb-22",1,10000000,24,3.2e+09,7.12e+10,"VIMR2.1","VIMR2.1","GFP vs OFP"
"52","02-Feb-22",2,10000000,24,8e+08,6.88e+10,"VIMR2.1","VIMR2.1","GFP vs OFP"
"53","02-Feb-22",1,10000000,0,220000,170000,"VIMR6.4","VIMR2.1","GFP vs OFP"
"54","02-Feb-22",2,10000000,0,110000,70000,"VIMR6.4","VIMR2.1","GFP vs OFP"
"55","02-Feb-22",1,10000000,24,1.4e+09,6.06e+10,"VIMR6.4","VIMR2.1","GFP vs OFP"
"56","02-Feb-22",2,10000000,24,3.6e+09,7.34e+10,"VIMR6.4","VIMR2.1","GFP vs OFP"
"57","02-Feb-22",1,10000000,0,2e+05,320000,"CMP","NDMR18","GFP vs CFP"
"58","02-Feb-22",2,10000000,0,30000,1e+05,"CMP","NDMR18","GFP vs CFP"
"59","02-Feb-22",1,10000000,24,6.4e+09,8.48e+10,"CMP","NDMR18","GFP vs CFP"
"60","02-Feb-22",2,10000000,24,8.4e+09,8.32e+10,"CMP","NDMR18","GFP vs CFP"
"61","02-Feb-22",1,10000000,0,160000,140000,"NDMR18","NDMR18","GFP vs CFP"
"62","02-Feb-22",2,10000000,0,250000,240000,"NDMR18","NDMR18","GFP vs CFP"
"63","02-Feb-22",1,10000000,24,4.4e+09,3.72e+10,"NDMR18","NDMR18","GFP vs CFP"
"64","02-Feb-22",2,10000000,24,4.4e+09,5.88e+10,"NDMR18","NDMR18","GFP vs CFP"
"65","02-Feb-22",1,10000000,0,130000,210000,"CMP","VIMR6.4","GFP vs CFP"
"66","02-Feb-22",2,10000000,0,150000,220000,"CMP","VIMR6.4","GFP vs CFP"
"67","02-Feb-22",1,10000000,24,2e+09,2.88e+10,"CMP","VIMR6.4","GFP vs CFP"
"68","02-Feb-22",2,10000000,24,2.4e+09,1.96e+10,"CMP","VIMR6.4","GFP vs CFP"
"69","02-Feb-22",1,10000000,0,160000,380000,"VIMR6.4","VIMR6.4","GFP vs CFP"
"70","02-Feb-22",2,10000000,0,190000,320000,"VIMR6.4","VIMR6.4","GFP vs CFP"
"71","02-Feb-22",1,10000000,24,4e+08,1.92e+10,"VIMR6.4","VIMR6.4","GFP vs CFP"
"72","02-Feb-22",2,10000000,24,7e+08,2.04e+10,"VIMR6.4","VIMR6.4","GFP vs CFP"
"73","02-Feb-22",1,10000000,0,370000,670000,"VIMR2.2","NDMR18","OFP vs CFP"
"74","02-Feb-22",2,10000000,0,3e+05,570000,"VIMR2.2","NDMR18","OFP vs CFP"
"75","02-Feb-22",1,10000000,24,6.12e+10,4e+10,"VIMR2.2","NDMR18","OFP vs CFP"
"76","02-Feb-22",2,10000000,24,4e+10,3.68e+10,"VIMR2.2","NDMR18","OFP vs CFP"
"77","02-Feb-22",1,10000000,0,250000,250000,"VIMR2.2","VIMR2.2","OFP vs CFP"
"78","02-Feb-22",2,10000000,0,170000,220000,"VIMR2.2","VIMR2.2","OFP vs CFP"
"79","02-Feb-22",1,10000000,24,1.28e+10,9.6e+09,"VIMR2.2","VIMR2.2","OFP vs CFP"
"80","02-Feb-22",2,10000000,24,2.48e+10,1.84e+10,"VIMR2.2","VIMR2.2","OFP vs CFP"
"81","02-Feb-22",1,10000000,0,150000,230000,"CMP","VIMR18.1","OFP vs CFP"
"82","02-Feb-22",2,10000000,0,240000,210000,"CMP","VIMR18.1","OFP vs CFP"
"83","02-Feb-22",1,10000000,24,1.528e+11,2.88e+10,"CMP","VIMR18.1","OFP vs CFP"
"84","02-Feb-22",2,10000000,24,1.136e+11,2.8e+10,"CMP","VIMR18.1","OFP vs CFP"
"85","02-Feb-22",1,10000000,0,160000,3e+05,"CMP","CMP","OFP vs CFP"
"86","02-Feb-22",2,10000000,0,290000,330000,"CMP","CMP","OFP vs CFP"
"87","02-Feb-22",1,10000000,24,9.84e+10,6.16e+10,"CMP","CMP","OFP vs CFP"
"88","02-Feb-22",2,10000000,24,9.68e+10,5.2e+10,"CMP","CMP","OFP vs CFP"
