"","Time","Read","E1","E2","E3","E4","E5","E6","E7","E8","E9","E10","E11","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11"
"1",0.000544,"CFP",1022,626,374,225,135,55,29,3,37,10,25,166,91,78,23,42,22,8,5,10,0,23,194,87,62,34,13,16,10,25,2,0,40
"2",0.001238,"CFP",1029,632,373,228,113,59,33,0,0,27,2,164,112,73,44,37,29,10,23,0,3,26,196,143,52,44,33,25,31,20,16,20,22
"3",0.001933,"CFP",1062,631,382,226,107,86,0,7,0,26,7,166,127,48,48,51,0,31,5,0,1,10,178,109,45,46,31,38,0,0,23,23,9
"4",0.002627,"CFP",1156,631,381,235,131,86,0,22,0,0,11,153,92,65,37,40,0,25,0,4,26,0,199,86,60,44,45,36,18,0,21,19,6
"5",0.003322,"CFP",1208,674,389,238,135,75,0,0,0,0,26,146,100,26,35,10,59,0,11,0,5,21,169,132,64,17,27,36,0,8,2,27,29
"6",0.004016,"CFP",1233,692,426,219,152,80,31,43,0,27,9,149,100,47,15,50,6,0,0,5,0,0,160,117,83,43,44,25,0,0,14,21,17
"7",0.004711,"CFP",1253,709,412,204,100,70,30,25,5,3,23,135,123,34,55,10,36,32,24,0,25,2,171,101,84,48,40,3,0,0,15,0,0
"8",0.005405,"CFP",1240,735,451,222,155,78,42,0,0,0,29,128,83,46,23,5,23,14,13,0,10,26,174,105,55,49,14,3,8,9,0,0,16
"9",0.0061,"CFP",1231,730,409,231,105,88,0,0,1,16,0,133,100,13,23,26,4,31,2,0,5,0,169,134,104,51,0,6,6,10,0,0,28
"10",0.006794,"CFP",1261,705,441,244,116,58,7,8,17,17,29,160,86,42,36,10,42,0,18,21,9,9,177,120,54,30,48,40,34,0,5,26,0
"11",0.007488,"CFP",1312,759,463,236,156,95,55,35,4,0,0,124,114,68,41,5,27,12,0,24,16,1,181,111,71,61,14,10,0,9,0,0,0
"12",0.008183,"CFP",1272,790,406,241,147,100,31,21,0,0,0,167,71,34,57,13,16,39,18,28,28,0,167,102,60,27,20,7,10,0,0,16,31
