"","Well","col","Row","Colour","Genotype","Type","glucose","day","Hours","OD600","RFU"
"1","D2","2","D","T",5,"monoculture",0,"Feb9",0.7992,0.0634146341463415,47
"2","D3","3","D","T",5,"monoculture",0,"Feb9",0.7992,0.0646341463414634,81
"3","D4","4","D","T",5,"monoculture",0.0078125,"Feb9",0.7992,0.0670731707317073,61
"4","D5","5","D","T",5,"monoculture",0.0078125,"Feb9",0.7992,0.0597560975609756,51
"5","D6","6","D","T",5,"monoculture",0.015625,"Feb9",0.7992,0.0634146341463415,46
"6","D7","7","D","T",5,"monoculture",0.015625,"Feb9",0.7992,0.0658536585365854,50
"7","D8","8","D","T",5,"monoculture",0.03125,"Feb9",0.7992,0.0634146341463415,54
"8","D9","9","D","T",5,"monoculture",0.03125,"Feb9",0.7992,0.0621951219512195,53
"9","D10","10","D","T",5,"monoculture",0.0625,"Feb9",0.7992,0.0634146341463415,55
"10","D11","11","D","T",5,"monoculture",0.0625,"Feb9",0.7992,0.0707317073170732,51
"11","D12","12","D","T",5,"monoculture",0.125,"Feb9",0.7992,0.0621951219512195,48
"12","D13","13","D","T",5,"monoculture",0.125,"Feb9",0.7992,0.0658536585365854,56
"13","D14","14","D","T",5,"monoculture",0.25,"Feb9",0.7992,0.0621951219512195,58
"14","D15","15","D","T",5,"monoculture",0.25,"Feb9",0.7992,0.0621951219512195,53
"15","D16","16","D","T",5,"monoculture",0.5,"Feb9",0.7992,0.0621951219512195,59
"16","D17","17","D","T",5,"monoculture",0.5,"Feb9",0.7992,0.0621951219512195,46
"17","D18","18","D","T",5,"monoculture",1,"Feb9",0.7992,0.0621951219512195,50
"18","D19","19","D","T",5,"monoculture",1,"Feb9",0.7992,0.0621951219512195,50
"19","D20","20","D","T",5,"monoculture",2,"Feb9",0.7992,0.0621951219512195,49
"20","D21","21","D","T",5,"monoculture",2,"Feb9",0.7992,0.0621951219512195,40
"21","D22","22","D","T",5,"monoculture",2,"Feb9",0.7992,0.0707317073170732,54
"22","D23","23","D","T",5,"monoculture",2,"Feb9",0.7992,0.0646341463414634,44
"23","E2","2","E","O",5,"monoculture",0,"Feb9",0.7992,0.0634146341463415,108
"24","E3","3","E","O",5,"monoculture",0,"Feb9",0.7992,0.0658536585365854,99
"25","E4","4","E","O",5,"monoculture",0.0078125,"Feb9",0.7992,0.0792682926829268,110
"26","E5","5","E","O",5,"monoculture",0.0078125,"Feb9",0.7992,0.0646341463414634,99
"27","E6","6","E","O",5,"monoculture",0.015625,"Feb9",0.7992,0.0646341463414634,86
"28","E7","7","E","O",5,"monoculture",0.015625,"Feb9",0.7992,0.0658536585365854,101
"29","E8","8","E","O",5,"monoculture",0.03125,"Feb9",0.7992,0.0926829268292683,112
"30","E9","9","E","O",5,"monoculture",0.03125,"Feb9",0.7992,0.0646341463414634,123
"31","E10","10","E","O",5,"monoculture",0.0625,"Feb9",0.7992,0.0707317073170732,131
"32","E11","11","E","O",5,"monoculture",0.0625,"Feb9",0.7992,0.0646341463414634,110
"33","E12","12","E","O",5,"monoculture",0.125,"Feb9",0.7992,0.0646341463414634,109
"34","E13","13","E","O",5,"monoculture",0.125,"Feb9",0.7992,0.0646341463414634,105
"35","E14","14","E","O",5,"monoculture",0.25,"Feb9",0.7992,0.0646341463414634,123
"36","E15","15","E","O",5,"monoculture",0.25,"Feb9",0.7992,0.0670731707317073,116
"37","E16","16","E","O",5,"monoculture",0.5,"Feb9",0.7992,0.0670731707317073,116
"38","E17","17","E","O",5,"monoculture",0.5,"Feb9",0.7992,0.0695121951219512,106
"39","E18","18","E","O",5,"monoculture",1,"Feb9",0.7992,0.0634146341463415,106
"40","E19","19","E","O",5,"monoculture",1,"Feb9",0.7992,0.0646341463414634,108
"41","E20","20","E","O",5,"monoculture",2,"Feb9",0.7992,0.0621951219512195,115
"42","E21","21","E","O",5,"monoculture",2,"Feb9",0.7992,0.0609756097560976,123
"43","E22","22","E","O",5,"monoculture",2,"Feb9",0.7992,0.0768292682926829,109
"44","E23","23","E","O",5,"monoculture",2,"Feb9",0.7992,0.0646341463414634,110
"45","F2","2","F","T",8,"monoculture",0,"Feb9",0.7992,0.0670731707317073,64
"46","F3","3","F","T",8,"monoculture",0,"Feb9",0.7992,0.0634146341463415,49
"47","F4","4","F","T",8,"monoculture",0.0078125,"Feb9",0.7992,0.0695121951219512,52
"48","F5","5","F","T",8,"monoculture",0.0078125,"Feb9",0.7992,0.0609756097560976,52
"49","F6","6","F","T",8,"monoculture",0.015625,"Feb9",0.7992,0.0670731707317073,52
"50","F7","7","F","T",8,"monoculture",0.015625,"Feb9",0.7992,0.0609756097560976,54
"51","F8","8","F","T",8,"monoculture",0.03125,"Feb9",0.7992,0.0634146341463415,54
