"","Well","Hours","pair","OD600","CFP","GFP","OFP","genA","genB","RFUA","RFUB","day","dilution"
"1","A1",0.7992,"CvG",0.0611991870731707,108.649999334,146.5,-2.700000006,"CMP","CMP",108.649999334,146.5,"Jan11",500
"2","A1",1.7976,"CvG",0.0770528456097561,150.649999334,277.5,0.299999994,"CMP","CMP",150.649999334,277.5,"Jan11",500
"3","A1",2.7984,"CvG",0.128272357804878,243.649999334,581.5,12.299999994,"CMP","CMP",243.649999334,581.5,"Jan11",500
"4","A1",3.7992,"CvG",0.258760162682927,486.649999334,1194.5,-2.700000006,"CMP","CMP",486.649999334,1194.5,"Jan11",500
"5","A1",4.7976,"CvG",0.414857723658537,947.649999334,1998.5,5.299999994,"CMP","CMP",947.649999334,1998.5,"Jan11",500
"6","A1",5.7984,"CvG",0.597784552926829,1777.649999334,3162.5,25.299999994,"CMP","CMP",1777.649999334,3162.5,"Jan11",500
"7","A1",6.7992,"CvG",0.713638211463415,2986.649999334,4174.5,15.299999994,"CMP","CMP",2986.649999334,4174.5,"Jan11",500
"8","A1",7.7976,"CvG",0.774613821219512,4523.649999334,4742.5,28.299999994,"CMP","CMP",4523.649999334,4742.5,"Jan11",500
"9","A1",8.7984,"CvG",0.806321138292683,5829.649999334,4912.5,30.299999994,"CMP","CMP",5829.649999334,4912.5,"Jan11",500
"10","A1",9.7992,"CvG",0.814857723658537,5959.649999334,4886.5,22.299999994,"CMP","CMP",5959.649999334,4886.5,"Jan11",500
"11","A1",10.7976,"CvG",0.805101626097561,5884.649999334,4831.5,27.299999994,"CMP","CMP",5884.649999334,4831.5,"Jan11",500
"12","A1",11.7984,"CvG",0.795345528536585,5806.649999334,4798.5,30.299999994,"CMP","CMP",5806.649999334,4798.5,"Jan11",500
"13","A1",12.7992,"CvG",0.808760162682927,5700.649999334,4707.5,30.299999994,"CMP","CMP",5700.649999334,4707.5,"Jan11",500
"14","A1",13.7976,"CvG",0.831930894390244,5646.649999334,4678.5,25.299999994,"CMP","CMP",5646.649999334,4678.5,"Jan11",500
"15","A1",14.7984,"CvG",0.822174796829268,5531.649999334,4594.5,13.299999994,"CMP","CMP",5531.649999334,4594.5,"Jan11",500
"16","A1",15.7992,"CvG",0.813638211463415,5431.649999334,4559.5,13.299999994,"CMP","CMP",5431.649999334,4559.5,"Jan11",500
"17","A1",16.7976,"CvG",0.805101626097561,5307.649999334,4439.5,23.299999994,"CMP","CMP",5307.649999334,4439.5,"Jan11",500
