Read,Row,T,T,T,T,T,T,T,T,G,G,G,G,G,G,G,G,O,O,O,O,O,O,O,O
OD600,A,2.03,1.369,0.697,0.419,0.233,0.142,0.091,0.069,1.656,1.045,0.486,0.335,0.197,0.145,0.106,0.082,1.83,1.184,0.621,0.409,0.234,0.149,0.172,0.127
OD600,B,1.913,1.303,0.71,0.434,0.247,0.138,0.091,0.068,2.031,1.437,0.806,0.504,0.28,0.165,0.101,0.075,1.639,1.061,0.523,0.339,0.202,0.118,0.088,0.063
OD600,C,2.019,1.256,0.775,0.426,0.243,0.152,0.099,0.07,2.063,1.312,0.874,0.483,0.279,0.158,0.101,0.074,1.987,1.362,0.759,0.45,0.271,0.16,0.105,0.071
OD600,D,1.997,1.301,0.856,0.483,0.258,0.16,0.095,0.086,2.066,1.421,0.803,0.502,0.285,0.17,0.106,0.082,1.897,1.3,0.714,0.413,0.24,0.144,0.095,0.072
OD600,E,2.059,1.354,0.698,0.399,0.235,0.138,0.091,0.069,1.882,1.304,0.718,0.401,0.231,0.135,0.094,0.07,1.936,1.311,0.701,0.412,0.247,0.149,0.098,0.069
OD600,F,1.927,1.309,0.715,0.43,0.232,0.138,0.085,0.07,1.94,1.383,0.728,0.444,0.263,0.154,0.104,0.079,1.578,1.03,0.572,0.307,0.194,0.114,0.078,0.065
OD600,G,2.02,1.367,0.657,0.407,0.229,0.136,0.091,0.067,1.967,1.362,0.645,0.426,0.229,0.142,0.09,0.069,1.59,0.99,0.526,0.314,0.189,0.116,0.076,0.067
OD600,H,1.602,1.012,0.545,0.312,0.174,0.111,0.075,0.06,1.944,1.341,0.748,0.455,0.239,0.15,0.092,0.07,2.01,1.432,0.769,0.454,0.265,0.161,0.099,0.073
OD600,I,2.027,1.354,0.682,0.389,0.226,0.145,0.088,0.068,1.671,1.018,0.672,0.331,0.204,0.118,0.084,0.064,1.927,1.42,0.648,0.379,0.235,0.156,0.11,0.071
OD600,J,2.021,1.38,0.754,0.415,0.236,0.149,0.09,0.069,1.845,1.281,0.762,0.428,0.218,0.144,0.09,0.07,0.706,0.429,0.234,0.141,0.1,0.067,0.056,0.051
OD600,K,0.042,0.043,0.043,0.044,0.043,0.044,0.044,0.044,0.044,0.047,0.044,0.044,0.044,0.044,0.043,0.045,0.043,0.044,0.043,0.043,0.044,0.044,0.042,0.044
CFP,A,40345,27195,18209,10672,6685,3839,2036,961,291,217,136,100,86,89,80,69,396,248,165,137,98,79,85,74
CFP,B,37184,23448,15370,9134,5485,3198,1605,829,510,283,177,128,84,89,68,74,247,168,135,78,73,79,63,69
CFP,C,38194,27133,16440,10138,6862,3083,2058,819,488,319,193,146,100,78,62,47,519,301,193,123,98,78,67,61
CFP,D,42881,29620,17844,11544,6484,3850,1976,929,579,382,208,154,111,84,78,55,487,309,192,126,90,75,75,68
CFP,E,36761,25856,15977,9401,5747,2798,1745,790,471,300,193,117,93,74,70,54,511,305,202,127,96,82,64,52
CFP,F,36052,25947,15750,9871,5740,3090,1582,761,508,303,189,130,92,82,72,57,278,181,116,97,64,63,57,56
CFP,G,39587,28098,16381,9975,6605,3189,1881,792,458,288,171,116,101,62,63,60,308,202,129,84,70,49,53,46
CFP,H,35955,23293,14220,8787,4635,2586,1330,632,475,288,188,120,104,79,65,52,594,346,215,127,88,73,62,56
CFP,I,41053,28148,17183,10350,6586,3795,1657,917,352,220,154,110,86,65,67,64,533,263,179,115,92,82,52,53
CFP,J,43165,28523,20305,11637,6993,3761,1991,1015,483,277,182,125,85,80,62,54,133,100,74,52,63,59,60,61
CFP,K,65,52,60,56,44,50,50,48,60,57,67,54,58,51,63,45,62,54,59,53,62,52,59,53
GFP,A,523,347,229,144,93,59,46,21,45579,34265,20340,12435,7493,3714,2030,979,1248,909,601,363,236,139,109,83
GFP,B,455,286,194,116,69,46,24,14,47913,31125,19213,11749,6404,4145,2192,1216,586,650,458,258,128,89,50,26
GFP,C,489,340,206,127,87,41,34,20,48418,38020,22879,15135,8172,4173,2271,979,1442,1072,660,356,218,128,74,31
GFP,D,563,375,222,149,85,45,29,19,52807,38923,22962,14817,9009,5015,2704,1271,1459,1063,626,370,188,125,75,36
GFP,E,455,307,192,108,77,33,34,11,46994,34835,19965,11959,7736,3571,2218,910,1424,1147,699,391,241,129,54,34
GFP,F,450,319,188,111,75,39,18,14,53234,37077,22115,13527,8693,4629,2941,1375,800,838,489,300,145,108,62,35
GFP,G,515,360,208,122,89,37,31,15,46475,34000,19025,11169,7618,3789,2075,932,539,819,523,278,160,82,43,24
GFP,H,349,227,148,91,49,29,22,17,49373,34351,21250,12828,7750,4241,2237,1019,1494,1094,676,385,228,134,81,47
GFP,I,544,366,214,132,81,41,22,15,42447,28991,20308,10764,6765,3080,1875,791,1519,967,670,374,238,138,53,42
GFP,J,567,368,256,138,93,53,28,20,51269,34147,21645,13291,7672,4385,2189,1085,610,376,200,111,67,47,12,16
GFP,K,6,6,0,0,12,19,7,5,4,4,1,5,0,0,7,5,6,0,10,7,13,6,11,10
OFP,A,12,37,22,33,44,48,62,54,264,216,154,144,126,173,153,120,71264,49290,32291,18305,10915,5748,3535,1875
OFP,B,0,8,8,7,13,1,17,11,279,165,101,74,41,28,22,21,28108,20391,13582,7009,3510,2407,1128,606
OFP,C,8,4,8,13,1,8,14,8,298,222,140,86,51,36,32,11,92543,63981,39358,20007,12078,7025,4011,1660
OFP,D,3,6,6,14,10,6,4,15,296,218,119,84,47,38,25,19,81753,57186,33864,19376,9883,6068,3148,1567
OFP,E,8,7,10,2,8,15,12,7,274,188,106,66,45,28,16,19,92500,69573,42211,22681,13528,7142,3153,1649
OFP,F,12,2,2,2,15,9,6,9,300,198,120,81,54,34,33,13,40205,30682,16752,9564,4642,3086,1681,859
OFP,G,6,5,0,10,0,8,10,17,294,219,117,69,51,33,25,22,34219,27049,16284,8194,4581,2349,1208,618
OFP,H,5,12,1,9,6,8,11,14,276,193,109,67,39,32,19,18,97990,67944,42187,23061,13597,7935,4538,2153
OFP,I,3,7,0,12,5,11,11,13,233,154,118,56,43,30,15,13,92087,55280,37834,20104,12372,6770,2872,1568
OFP,J,10,9,5,9,2,14,6,7,297,196,121,75,56,27,16,11,24222,14151,6903,3595,1927,1183,579,276
OFP,K,6,0,15,18,31,15,21,8,6,8,4,14,10,9,13,5,19,9,14,4,20,6,13,7
