Well,Read,value
L1,OD600,1.752
M1,OD600,1.756
N1,OD600,1.883
O1,OD600,1.25
P1,OD600,1.762
L2,OD600,1.106
M2,OD600,1.042
N2,OD600,1.181
O2,OD600,0.684
P2,OD600,1.092
L3,OD600,0.432
M3,OD600,0.977
N3,OD600,0.672
O3,OD600,0.304
P3,OD600,0.468
L4,OD600,0.388
M4,OD600,0.45
N4,OD600,0.398
O4,OD600,0.242
P4,OD600,0.365
L5,OD600,0.231
M5,OD600,0.324
N5,OD600,0.26
O5,OD600,0.187
P5,OD600,0.218
L6,OD600,0.157
M6,OD600,0.188
N6,OD600,0.168
O6,OD600,0.118
P6,OD600,0.177
L7,OD600,0.104
M7,OD600,0.142
N7,OD600,0.114
O7,OD600,0.089
P7,OD600,0.106
L8,OD600,0.079
M8,OD600,0.1
N8,OD600,0.078
O8,OD600,0.068
P8,OD600,0.078
L9,OD600,1.844
M9,OD600,1.782
N9,OD600,1.843
O9,OD600,1.772
P9,OD600,0.046
L10,OD600,1.228
M10,OD600,1.163
N10,OD600,1.22
O10,OD600,1.236
P10,OD600,0.044
L11,OD600,0.568
M11,OD600,0.5
N11,OD600,0.543
O11,OD600,0.512
P11,OD600,0.045
L12,OD600,0.39
M12,OD600,0.433
N12,OD600,0.413
O12,OD600,0.422
P12,OD600,0.054
L13,OD600,0.279
M13,OD600,0.274
N13,OD600,0.281
O13,OD600,0.272
P13,OD600,0.046
L14,OD600,0.169
M14,OD600,0.185
N14,OD600,0.174
O14,OD600,0.175
P14,OD600,0.043
L15,OD600,0.123
M15,OD600,0.124
N15,OD600,0.121
O15,OD600,0.129
P15,OD600,0.045
L16,OD600,0.093
M16,OD600,0.098
N16,OD600,0.092
O16,OD600,0.097
P16,OD600,0.051
L17,OD600,1.809
M17,OD600,1.767
N17,OD600,1.832
O17,OD600,1.723
P17,OD600,0.046
L18,OD600,1.185
M18,OD600,1.188
N18,OD600,1.23
O18,OD600,1.11
P18,OD600,0.043
L19,OD600,0.499
M19,OD600,0.495
N19,OD600,0.488
O19,OD600,0.46
P19,OD600,0.044
