Read,Colour,Genotype,1,2,3,4,5,6,7,8
OD600,T,1,1.933,1.263,0.465,0.405,0.262,0.17,0.102,0.084
OD600,T,2,1.836,1.164,0.574,0.451,0.323,0.244,0.176,0.116
OD600,T,3,1.908,1.052,0.68,0.442,0.284,0.183,0.119,0.106
OD600,T,4,1.793,1.218,0.527,0.447,0.29,0.188,0.115,0.094
OD600,T,5,1.966,1.14,0.689,0.472,0.292,0.197,0.143,0.104
OD600,T,6,1.792,1.258,0.592,0.438,0.329,0.196,0.142,0.095
OD600,T,7,1.942,1.173,0.507,0.424,0.258,0.159,0.116,0.084
OD600,T,8,1.873,1.248,0.55,0.478,0.292,0.178,0.124,0.096
OD600,T,9,1.93,1.098,0.653,0.461,0.289,0.172,0.118,0.093
OD600,T,10,1.788,1.183,0.471,0.436,0.287,0.178,0.122,0.091
OD600,G,1,1.82,1.26,0.543,0.437,0.293,0.186,0.128,0.086
OD600,G,2,1.782,1.256,0.591,0.469,0.288,0.212,0.141,0.094
OD600,G,3,1.824,1.251,0.462,0.444,0.27,0.173,0.128,0.088
OD600,G,4,1.71,1.06,0.49,0.353,0.243,0.167,0.117,0.087
OD600,G,5,1.861,1.286,0.565,0.446,0.297,0.194,0.131,0.099
OD600,G,6,1.825,1.269,0.65,0.454,0.274,0.208,0.134,0.09
OD600,G,7,1.815,1.243,0.5,0.449,0.278,0.173,0.121,0.086
OD600,G,8,1.806,1.124,0.603,0.42,0.247,0.179,0.122,0.09
OD600,G,9,1.864,1.256,0.518,0.443,0.28,0.209,0.12,0.088
OD600,G,10,1.813,1.34,0.471,0.425,0.258,0.184,0.117,0.089
OD600,O,1,1.692,1.262,0.53,0.438,0.294,0.187,0.143,0.089
OD600,O,2,1.746,1.26,0.522,0.447,0.328,0.225,0.148,0.09
OD600,O,3,1.669,1.185,0.62,0.435,0.31,0.207,0.153,0.107
OD600,O,4,1.722,1.203,0.513,0.421,0.283,0.199,0.163,0.091
OD600,O,5,1.767,1.132,0.65,0.458,0.303,0.24,0.154,0.101
OD600,O,6,1.755,1.317,0.513,0.443,0.316,0.26,0.157,0.099
OD600,O,7,1.78,1.117,0.608,0.443,0.281,0.23,0.152,0.103
OD600,O,8,1.774,1.263,0.505,0.448,0.279,0.222,0.137,0.098
OD600,O,9,1.705,1.214,0.519,0.441,0.275,0.201,0.139,0.095
OD600,O,10,1.68,1.216,0.488,0.41,0.257,0.197,0.122,0.087
OD600,blank,blank,0.042,0.043,0.042,0.043,0.047,0.045,0.04,0.041
OD600,blank,blank,0.055,0.044,0.04,0.043,0.041,0.041,0.042,0.046
OD600,blank,blank,0.043,0.049,0.048,0.056,0.057,0.057,0.04,0.04
CFP,T,1,32373,23384,10230,9027,5170,3128,1894,1197
CFP,T,2,37905,24152,13203,10301,6119,4231,2573,1588
CFP,T,3,33601,25312,15538,9430,6066,4013,2517,1490
CFP,T,4,38652,22246,12076,9782,5690,4060,2507,1528
CFP,T,5,32418,23933,14731,9792,5820,3904,2391,1405
CFP,T,6,38160,22513,13393,8824,5930,4052,2294,1440
CFP,T,7,30721,23562,11519,8639,5306,3460,2117,1222
CFP,T,8,37636,23240,12285,10134,5964,4182,2448,1567
CFP,T,9,33376,23997,14508,9918,5956,3932,2519,1381
CFP,T,10,38917,23215,11576,9998,5923,4143,2359,1361
CFP,blank,blank,57,52,65,53,51,58,60,68
CFP,blank,blank,56,80,63,66,65,63,60,54
CFP,blank,blank,53,61,57,48,44,62,68,61
GFP,G,1,37180,24010,11977,9656,5828,4116,2504,1302
GFP,G,2,39452,24354,12981,10085,6204,4059,2597,1552
GFP,G,3,38230,23801,10350,10192,5587,3924,2481,1417
GFP,G,4,29819,21407,11130,7686,4964,2790,1856,1153
GFP,G,5,38736,25523,13778,10807,6211,4565,2814,1682
GFP,G,6,41014,29854,16249,10627,6905,4124,2780,1610
GFP,G,7,35126,22267,11169,9708,5703,3830,2421,1318
GFP,G,8,35427,25514,14132,8981,5931,3584,2398,1391
GFP,G,10,40662,23652,11016,9485,6471,4071,2476,1503
GFP,blank,blank,6,4,0,3,0,0,4,7
GFP,blank,blank,3,10,1,1,10,12,6,15
GFP,blank,blank,0,12,0,1,0,2,0,6
OFP,O,1,99047,57336,29961,23196,14698,7970,5326,3144
OFP,O,2,91033,57328,30001,23679,13115,8547,4885,2875
OFP,O,3,91400,54293,33084,21713,14098,7507,5071,2858
OFP,O,4,84739,52710,28557,21325,11733,7946,4534,2438
OFP,O,5,94152,64432,35745,25210,15776,7833,5918,3454
OFP,O,6,97856,62195,32160,26765,16182,9850,5766,3263
OFP,O,7,89457,63335,35001,25983,15239,8352,5306,3330
OFP,O,8,88507,60246,27170,23864,14219,8896,4940,3112
OFP,O,9,91340,53075,28457,22259,14669,8109,5766,2887
OFP,O,10,84502,54542,26025,20245,12286,7520,4920,2699
OFP,blank,blank,11,19,7,14,10,11,19,18
OFP,blank,blank,11,18,12,20,2,2,8,10
OFP,blank,blank,7,3,9,9,9,4,14,8
