Well,OD600,CFP,GFP
A1,1.875,26527,338
B1,1.796,20068,257
C1,0.053,67,12
D1,0.052,34,5
E1,0.054,33,11
F1,0.056,46,6
G1,0.062,43,10
H1,0.055,47,4
I1,0.071,33,4
J1,0.052,51,0
K1,0.051,53,4
L1,0.052,41,8
M1,0.054,56,2
N1,0.053,37,8
O1,0.068,51,8
P1,0.052,43,2
A2,1.126,20082,255
B2,1.054,16174,205
C2,0.074,38,14
D2,0.053,47,8
E2,0.054,42,9
F2,0.056,53,6
G2,0.059,31,10
H2,0.053,33,6
I2,0.053,36,4
J2,0.058,55,8
K2,0.055,59,4
L2,0.051,40,1
M2,0.052,47,8
N2,0.051,41,0
O2,0.056,75,8
P2,0.052,57,8
A3,0.613,10679,138
B3,0.513,7545,93
C3,0.055,36,5
D3,0.056,59,8
E3,0.054,46,8
F3,0.053,34,5
G3,0.054,28,0
H3,0.053,28,3
I3,0.055,39,5
J3,0.054,32,12
K3,0.053,41,8
L3,0.052,44,10
M3,0.054,48,6
N3,0.052,41,0
O3,0.052,51,5
P3,0.052,40,0
A4,0.433,6283,84
B4,0.386,6063,81
C4,0.06,33,0
D4,0.06,35,0
E4,0.059,33,12
F4,0.054,38,0
G4,0.054,30,6
H4,0.055,34,0
I4,0.056,57,9
J4,0.054,42,0
K4,0.064,34,9
L4,0.052,47,4
M4,0.054,41,14
N4,0.052,54,0
O4,0.052,44,0
P4,0.063,50,9
A5,0.27,5017,62
B5,0.247,3791,44
C5,0.053,22,3
D5,0.053,34,9
E5,0.058,39,1
F5,0.053,31,11
G5,0.053,28,5
H5,0.054,38,14
I5,0.052,27,10
J5,0.053,53,0
K5,0.053,36,4
L5,0.052,36,5
M5,0.052,41,9
N5,0.053,53,4
O5,0.053,56,14
P5,0.052,65,11
A6,0.182,3588,51
B6,0.156,2486,32
C6,0.053,41,12
D6,0.059,27,0
E6,0.056,29,6
F6,0.053,33,0
G6,0.053,27,2
H6,0.059,39,6
I6,0.06,31,0
J6,0.056,36,3
K6,0.059,44,9
L6,0.053,37,1
M6,0.052,44,5
N6,0.052,51,7
O6,0.053,35,0
P6,0.052,44,5
A7,0.124,2149,41
B7,0.117,1664,35
C7,0.053,41,3
D7,0.052,32,5
E7,0.054,32,8
F7,0.053,39,15
G7,0.054,39,9
H7,0.053,37,0
I7,0.053,28,9
J7,0.052,42,2
K7,0.053,39,5
L7,0.053,47,10
M7,0.052,47,0
N7,0.053,55,10
O7,0.054,45,0
P7,0.052,45,8
A8,0.101,1334,38
B8,0.089,1074,21
C8,0.053,36,9
D8,0.053,27,0
E8,0.053,30,3
F8,0.053,33,1
G8,0.057,30,0
H8,0.053,37,9
I8,0.057,59,7
J8,0.052,28,5
K8,0.053,50,2
L8,0.053,52,12
M8,0.055,47,0
N8,0.053,40,8
O8,0.058,37,11
P8,0.052,57,10
A9,1.254,210,30845
B9,1.24,232,36959
C9,0.054,41,3
D9,0.056,38,1
E9,0.054,33,16
F9,0.055,29,1
G9,0.058,43,6
H9,0.053,38,1
I9,0.052,36,3
J9,0.054,36,0
K9,0.054,37,0
L9,0.052,44,15
M9,0.054,78,12
N9,0.053,42,4
O9,0.052,34,8
P9,0.052,42,13
A10,0.739,163,21616
B10,0.884,160,21461
C10,0.055,33,10
D10,0.055,29,0
E10,0.053,32,0
F10,0.056,35,1
G10,0.052,41,5
H10,0.059,58,0
I10,0.053,26,3
J10,0.064,31,5
K10,0.053,30,6
L10,0.053,42,11
M10,0.058,48,15
N10,0.055,38,3
O10,0.053,42,8
P10,0.053,53,6
A11,0.342,117,10167
B11,0.35,100,9635
C11,0.054,23,8
D11,0.052,33,0
E11,0.059,33,12
F11,0.056,27,8
G11,0.053,50,4
H11,0.054,28,1
I11,0.054,36,10
J11,0.053,29,15
K11,0.056,38,0
L11,0.052,43,2
M11,0.053,39,7
N11,0.052,50,0
O11,0.053,42,5
P11,0.052,49,0
A12,0.281,130,7281
B12,0.323,121,7873
C12,0.055,28,3
D12,0.055,32,8
E12,0.053,32,8
F12,0.053,39,6
G12,0.053,34,0
H12,0.069,37,8
I12,0.052,35,0
J12,0.053,34,2
K12,0.053,39,7
L12,0.052,37,1
M12,0.051,42,9
N12,0.052,38,9
O12,0.053,36,2
P12,0.052,57,11
A13,0.175,114,4289
B13,0.207,94,4967
C13,0.056,39,0
D13,0.056,30,0
E13,0.06,34,5
F13,0.054,33,4
G13,0.054,29,4
H13,0.054,32,0
I13,0.053,34,5
J13,0.054,29,8
K13,0.053,20,5
L13,0.053,33,1
M13,0.052,44,13
N13,0.052,55,13
O13,0.053,62,0
P13,0.052,55,1
A14,0.137,95,2881
B14,0.135,85,2868
C14,0.053,27,6
D14,0.054,39,0
E14,0.052,29,3
F14,0.053,24,0
G14,0.055,33,0
H14,0.053,39,0
I14,0.054,35,0
J14,0.053,39,1
K14,0.053,39,4
L14,0.054,33,4
M14,0.053,34,1
N14,0.053,38,5
O14,0.054,36,6
P14,0.052,32,6
A15,0.116,119,1667
B15,0.096,92,1692
C15,0.054,21,0
D15,0.056,37,2
E15,0.053,32,4
F15,0.058,39,1
G15,0.053,37,2
H15,0.052,35,2
I15,0.053,29,10
J15,0.055,22,0
K15,0.052,36,0
L15,0.053,25,5
M15,0.052,65,0
N15,0.054,62,21
O15,0.053,40,10
P15,0.052,47,0
A16,0.086,112,1232
B16,0.116,86,1113
C16,0.069,34,7
D16,0.054,38,3
E16,0.054,33,7
F16,0.053,36,0
G16,0.053,39,5
H16,0.053,31,3
I16,0.054,28,5
J16,0.053,31,1
K16,0.054,42,0
L16,0.053,42,5
M16,0.053,46,3
N16,0.053,51,15
O16,0.053,36,1
P16,0.052,47,5
A17,0.054,100,39
B17,0.044,81,41
C17,0.053,27,5
D17,0.053,31,5
E17,0.054,32,3
F17,0.054,34,5
G17,0.056,27,3
H17,0.053,42,17
I17,0.052,27,4
J17,0.053,32,0
K17,0.053,27,7
L17,0.052,31,11
M17,0.053,45,1
N17,0.052,65,10
O17,0.053,37,0
P17,0.053,42,6
A18,0.054,113,26
B18,0.044,91,24
C18,0.058,33,10
D18,0.053,30,0
E18,0.053,34,0
F18,0.054,37,0
G18,0.053,32,9
H18,0.058,36,15
I18,0.054,38,0
J18,0.054,29,8
K18,0.054,35,9
L18,0.052,30,9
M18,0.052,57,9
N18,0.052,56,4
O18,0.054,49,6
P18,0.054,53,7
A19,0.053,113,59
B19,0.043,83,25
C19,0.053,25,5
D19,0.055,39,3
E19,0.056,37,0
F19,0.054,29,7
G19,0.054,38,11
H19,0.055,35,0
I19,0.053,40,6
J19,0.054,34,7
K19,0.052,29,6
L19,0.052,32,3
M19,0.054,67,5
N19,0.053,56,0
O19,0.053,52,5
P19,0.054,47,10
A20,0.054,122,34
B20,0.046,71,25
C20,0.055,30,0
D20,0.06,39,0
E20,0.057,37,7
F20,0.054,42,6
G20,0.054,41,4
H20,0.056,34,9
I20,0.053,32,1
J20,0.053,34,2
K20,0.055,31,8
L20,0.052,28,0
M20,0.053,39,12
N20,0.055,51,13
O20,0.053,62,8
P20,0.056,60,8
A21,0.052,106,69
B21,0.043,77,26
C21,0.055,29,5
D21,0.057,35,0
E21,0.056,34,9
F21,0.058,38,5
G21,0.059,31,10
H21,0.055,34,8
I21,0.053,29,0
J21,0.052,30,14
K21,0.053,31,3
L21,0.052,29,6
M21,0.052,55,3
N21,0.052,51,3
O21,0.053,52,12
P21,0.055,51,6
A22,0.05,84,28
B22,0.047,65,28
